created_at,id_str,full_text,user.location,entities.hashtags,retweeted_status.full_text
Mon Oct 24 23:54:19 +0000 2022,1584694811176542208,"@CNNBrasil Exagera ou mente ???? 
#Eleicoes2022","Belo Horizonte, Brasil","[{'text': 'Eleicoes2022', 'indices': [34, 47]}]",
Mon Oct 24 23:54:19 +0000 2022,1584694811050721280,RT @choquei: 🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022…,Hell de Rio de Janeiro ,"[{'text': 'Eleições2022', 'indices': [126, 139]}]",🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022 https://t.co/ssdwmFvo4T
Mon Oct 24 23:54:17 +0000 2022,1584694802230087680,"RT @Estadao: Pesquisa Ipec no segundo turno: Lula tem 50% das intenções de voto; Bolsonaro, 43% (via @EstadaoPolitica) #Eleicoes2022 https:…","Belo Horizonte, Brasil","[{'text': 'Eleicoes2022', 'indices': [119, 132]}]","Pesquisa Ipec no segundo turno: Lula tem 50% das intenções de voto; Bolsonaro, 43% (via @EstadaoPolitica) #Eleicoes2022 https://t.co/CF8G0CcQZs https://t.co/KfNL98rOon"
Mon Oct 24 23:54:17 +0000 2022,1584694801584177152,"RT @UOLNoticias: IPEC PRESIDENCIAL: 2º turno - Lula tem 54%, Bolsonaro 46% dos votos válidos #Eleições2022 #UOLEleições2022📈","Aparecida de Goiânia, Brasil","[{'text': 'Eleições2022', 'indices': [93, 106]}, {'text': 'UOLEleições2022', 'indices': [107, 123]}]","IPEC PRESIDENCIAL: 2º turno - Lula tem 54%, Bolsonaro 46% dos votos válidos #Eleições2022 #UOLEleições2022📈"
Mon Oct 24 23:54:16 +0000 2022,1584694795942866945,"RT @choquei: 🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF",,"[{'text': 'Eleiçoes2022', 'indices': [91, 104]}]","🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF"
Mon Oct 24 23:54:15 +0000 2022,1584694794432847872,"RT @portalR7: 'Salvamos mais de 1 milhão de jovens que tinham dívidas impagáveis com Fies', diz Bolsonaro na #SabatinaNaRecord https://t.co…",,"[{'text': 'SabatinaNaRecord', 'indices': [109, 126]}]","'Salvamos mais de 1 milhão de jovens que tinham dívidas impagáveis com Fies', diz Bolsonaro na #SabatinaNaRecord https://t.co/9YEG8MkNnu #R7 #portalr7 #OVotoNaRecord #Eleições2022"
Mon Oct 24 23:54:11 +0000 2022,1584694776485490688,"RT @choquei: 🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF","Fortaleza, Brasil","[{'text': 'Eleiçoes2022', 'indices': [91, 104]}]","🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF"
Mon Oct 24 23:54:08 +0000 2022,1584694764787884033,"RT @choquei: 🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF","Califórnia, USA","[{'text': 'Eleiçoes2022', 'indices': [91, 104]}]","🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF"
Mon Oct 24 23:54:07 +0000 2022,1584694758751948800,"RT @choquei: 🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF",Da minha vida cuido eu. MM♡,"[{'text': 'Eleiçoes2022', 'indices': [91, 104]}]","🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF"
Mon Oct 24 23:54:07 +0000 2022,1584694758173466624,RT @marioadolfo: Em Manaus as pessoas não estão mais com medo de mostrar apoio a @LulaOficial. Falta pouco. #Eleiçoes2022 https://t.co/5hai…,"Curitiba, Brasil","[{'text': 'Eleiçoes2022', 'indices': [108, 121]}]",Em Manaus as pessoas não estão mais com medo de mostrar apoio a @LulaOficial. Falta pouco. #Eleiçoes2022 https://t.co/5haiGKolhC
Mon Oct 24 23:54:03 +0000 2022,1584694741836627968,"RT @Estadao: Pesquisa Ipec no segundo turno: Lula tem 50% das intenções de voto; Bolsonaro, 43% (via @EstadaoPolitica) #Eleicoes2022 https:…","Salvador, Brasil","[{'text': 'Eleicoes2022', 'indices': [119, 132]}]","Pesquisa Ipec no segundo turno: Lula tem 50% das intenções de voto; Bolsonaro, 43% (via @EstadaoPolitica) #Eleicoes2022 https://t.co/CF8G0CcQZs https://t.co/KfNL98rOon"
Mon Oct 24 23:54:02 +0000 2022,1584694739005100034,RT @marioadolfo: Em Manaus as pessoas não estão mais com medo de mostrar apoio a @LulaOficial. Falta pouco. #Eleiçoes2022 https://t.co/5hai…,,"[{'text': 'Eleiçoes2022', 'indices': [108, 121]}]",Em Manaus as pessoas não estão mais com medo de mostrar apoio a @LulaOficial. Falta pouco. #Eleiçoes2022 https://t.co/5haiGKolhC
Mon Oct 24 23:54:01 +0000 2022,1584694736232673280,RT @plnacional_: Culpa do Bolsonaro! São tantas coisas pelas quais o nosso presidente é culpado... Aqui está uma delas. Culpado pela quarta…,"Santa Catarina, Brasil",[],"Culpa do Bolsonaro! São tantas coisas pelas quais o nosso presidente é culpado... Aqui está uma delas. Culpado pela quarta menor inflação do G20 em 2022! 😂 O Brasil não para de avançar. E para continuar, não tenha dúvidas: é Bolsonaro, 22! #Bolsonaro #Bolsonaro22 #Eleições2022 https://t.co/CeP72wAdtY"
